OldName,NewName
Boku no Kokoro no Yabai Yatsu,The Dangers in My Heart
BTTH,Battle Through The Heavans
Edomae Elf,Otaku Elf
Isekai One Turn Kill Neesan,My One-Hit Kill Sister
Isekai Shoukan wa Nidome desu,Summoned to Another World for a Second Time
Isekai wa Smartphone to Tomo ni,In Another World With My Smartphone
Iseleve,I Got a Cheat Skill in Another World
Jigokuraku,Hell's Paradise
Jijou wo Shiranai Tenkousei ga Guigui Kuru,My Clueless First Friend
Kaminaki Sekai no Kamisama Katsudou,KamiKatsu- Working for God in a Godless World
Kanojo ga Koushaku-tei ni Itta Riyuu,The Reason Why Raeliana Ended up at the Duke's Mansion
Kawaisugi Crisis,Too Cute Crisis
Kimetsu no Yaiba - Katanakaji no Sato-hen,Demon Slayer Kimetsu no Yaiba
Kimi wa Houkago Insomnia,Insomniacs After School
Kimi wo Aishita Hitori no Boku e,"To Me, The One Who Loved You"
Kono Subarashii Sekai ni Bakuen wo!,KonoSuba- An Explosion on This Wonderful World!
Mahou Shoujo Magical Destroyers,Magical Destroyers
Mahoutsukai no Yome,The Ancient Magus' Bride
Majutsushi Orphen Hagure Tabi,Sorcerous Stabber Orphen
Mashle,Mashle- Magic and Muscles
Megami no Cafe Terrace,The Café Terrace and Its Goddesses
Mix - Meisei Story,MIX
Niehime to Kemono no Ou,Sacrificial Princess and the King of Beasts
Otonari ni Ginga,A Galaxy Next Door
Ousama Ranking - Yuuki no Takarabako,Ranking of Kings- The Treasure Chest of Courage
Rokudou no Onna-tach,Rokudo's Bad Girls
Skip to Loafer,Skip and Loafer
Tengoku Daimakyo,Heavenly Delusion
Tensei Kizoku no Isekai Boukenroku,The Aristocrat's Otherworldly Adventure
Tonikaku Kawaii,TONIKAWA- Over The Moon For You
Watashi no Yuri wa Oshigoto desu!,Yuri is My Job!
World Dai Star,Stella of the Theater- World Dai Star
Yamada-kun to Lv999 no Koi wo Suru,My Love Story with Yamada-kun at Lv999
Yuusha ga Shinda!,The Legendary Hero Is Dead!
